Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta,Volatility_1d,Volatility_7d,Log_TVL,APY_Risk,Cluster,APY_Rank,TVL_Rank,Risk_Score,Vol_Rank,Risk_Category,ML_Risk_Score,ML_Risk_Category
WETH,Compound V2,Ethereum,68432791,,,0.01905,0.01905,0.7409,0.0,0.00074,Stable/Up,3.0,Lending,,3.79414,3.79414,0.01792,,,,0.01905,0.01905,-2.2644,0.0,-2.2644,69168173.0,735382.0,68432791.0,,0.0,0.00074,18.041362682914706,0.001055906936455553,0,0.1,0.48888888888888893,23.111111111111118,0.13333333333333333,Low Risk,2.123761634669258,Low Risk
USDT,Compound V2,Ethereum,34984571,,,2.23522,2.23522,0.7409,0.00182,-0.19464,Stable/Up,3.0,Lending,,3.79414,3.79414,2.37796,,,,2.23522,2.23522,-4.11389,0.0,-4.11389,98570119.0,63585547.0,34984572.0,,0.00182,0.19464,17.37041772227281,0.12867969186106226,0,0.3888888888888889,0.5888888888888889,48.17777777777778,0.5333333333333333,Medium Risk,46.73316360315856,Medium Risk
USDC,Compound V2,Ethereum,15761036,,,1.47389,1.47389,0.7409,-0.02517,-0.29337,Stable/Up,3.0,Lending,,3.79414,3.79414,2.14265,,,,1.47389,1.47389,-3.55336,0.0,-3.55336,35714667.0,19953632.0,15761035.0,,0.02517,0.29337,16.573051439721702,0.08893292857749978,0,0.2777777777777778,0.8111111111111111,51.28888888888889,0.6,Medium Risk,52.83518109983691,Medium Risk
DAI,Compound V2,Ethereum,7440276,,,2.69684,2.69684,0.7409,-0.05173,-0.73805,Stable/Up,3.0,Lending,,3.79414,3.79414,3.12216,,,,2.69684,2.69684,-4.52256,0.0,-4.52256,25460120.0,18019843.0,7440277.0,,0.05173,0.73805,15.822418637299007,0.17044423244134113,0,0.45555555555555555,0.9888888888888889,70.84444444444445,0.8666666666666667,High Risk,73.08523730339105,High Risk
USDC,Compound V3,Ethereum,100771880,,,3.96145,3.74938,0.21208,0.06769,0.46427,Down,1.0,Lending,,3.79414,3.79414,4.06523,,,,3.96145,3.74938,-4.8058,0.27108,-4.53472,488044950.0,387273071.0,100771879.0,,0.06769,0.46427,18.428369916352096,0.2149647536912571,1,0.6555555555555556,0.38888888888888884,58.13333333333333,0.7111111111111111,Medium Risk,65.22898583090996,Medium Risk
USDT,Compound V3,Ethereum,64094383,,,3.71111,3.18468,0.52643,-0.08453,-0.41257,Stable/Up,3.0,Lending,,3.79414,3.79414,3.93622,,,,3.71111,3.18468,-4.30791,0.55789,-3.75002,196612646.0,132518263.0,64094383.0,,0.08453,0.41257,17.97586730494812,0.20644956580083693,0,0.6222222222222222,0.5,59.42222222222223,0.6777777777777778,Medium Risk,62.89706975677829,Medium Risk
ETH,Compound V3,Ethereum,9837324,,,2.54719,1.89028,0.65691,0.48303,0.09411,Down,1.0,Lending,,3.79414,3.79414,2.75396,,,,2.54719,1.89028,-2.35645,0.42894,-1.92751,78779660.0,68942335.0,9837325.0,,0.48303,0.09411,16.10169438247714,0.1581939104975194,1,0.4111111111111111,0.9222222222222223,55.6888888888889,0.32222222222222224,Medium Risk,37.359781942452244,Medium Risk
SUSDE,Ethena USDe,Ethereum,2151791019,,,4.88327,4.88327,0.7409,-0.00133,0.33937,Stable/Up,3.0,Basis Trading,,3.79414,3.79414,5.87839,,,,4.88327,4.88327,,,,,,,7 days unstaking,0.00133,0.33937,21.489566364865073,0.22723911302296124,1,0.7555555555555555,0.06666666666666665,50.84444444444445,0.6222222222222222,Medium Risk,58.80874602590233,Medium Risk
WEETH,ether.fi Stake,Ethereum,3565361944,,,2.87235,2.36516,0.50719,-1.07222,-0.77945,Stable/Up,1.0,Liquid Restaking,,3.64607,3.64607,3.52816,,,,2.87235,2.36516,,,,,,,,1.07222,0.77945,21.994531413008346,0.13059382562254498,1,0.4666666666666667,0.011111111111111072,40.31111111111111,0.8777777777777778,Medium Risk,43.3754130758132,Medium Risk
EUSD0-4,Euler V2,Ethereum,24324503,,,4.28664,4.28664,0.7409,0.08984,0.52377,Down,1.0,Lending,,3.79414,3.79414,4.12609,,,,4.28664,4.28664,,,,,,,,0.08984,0.52377,17.006994795283745,0.2520515853388007,1,0.6888888888888889,0.6555555555555556,69.37777777777778,0.7666666666666667,High Risk,80.10395089700762,High Risk
