Pool,Project,Chain,TVL,Asset Type,Asset APY,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
GTDAICORE,Morpho Blue,Ethereum,18822289,,,6.13557,5.87628,0.2593,-0.20339,-0.16489,Stable/Up,2,Lending,,,,7.08219,,,,6.13557,5.87628,,,,,,,
RE7WETH,Morpho Blue,Ethereum,18695114,,,5.38583,5.38583,,-0.1689,1.67362,Down,3,Lending,,,,4.31573,,,,5.38583,5.38583,,,,,,,
HYPERUSDC,Morpho Blue,Ethereum,16080433,,,7.66315,7.57504,0.08811,-5.07155,1.66104,Down,2,Lending,,,,9.10559,,,,7.66315,7.57504,,,,,,,
MHYETH,Morpho Blue,Ethereum,14178440,,,5.07903,4.34516,0.73387,-0.75684,-0.15589,Stable/Up,1,Lending,,,,5.51961,,,,5.07903,4.34516,,,,,,,
STEAKPYUSD,Morpho Blue,Ethereum,12665419,,,3.30411,2.58646,0.71765,-0.02094,0.16063,Stable/Up,3,Lending,,,,4.84997,,,,3.30411,2.58646,,,,,,,
GTUSDT,Morpho Blue,Ethereum,11179797,,,4.3999,3.55304,0.84686,0.51547,0.49281,Stable/Up,3,Lending,,,,4.54524,,,,4.3999,3.55304,,,,,,,
SBMORPHOUSDC,Morpho Blue,Ethereum,8575232,,,4.56673,3.91583,0.6509,-0.04132,-0.88194,Stable/Up,2,Lending,,,,4.47518,,,,4.56673,3.91583,,,,,,,
GTEUSDC,Morpho Blue,Ethereum,8332056,,,9.66248,0.37407,9.28841,-0.31728,8.38978,Down,2,Lending,,,,9.50102,,,,9.66248,0.37407,,,,,,,
OETH,Origin Ether,Ethereum,71323226,,,2.98408,,,0.00554,0.38259,Stable/Up,2,Liquid Staking,,,,2.96563,,,,2.98408,0,,,,,,,
EZETH,Renzo,Ethereum,496668700,,,3.25376,3.25376,,-0.04903,-0.41424,Stable/Up,2,Liquid Restaking,,,,3.68479,,,,3.25376,3.25376,,,,,,,
ETH+,Reserve Protocol,Ethereum,101554486,,,2.00465,2.00465,,-0.00898,0.03615,Stable/Up,2,Indexes,,,,2.41716,,,,2.00465,2.00465,,,,,,,
RETH,Rocket Pool,Ethereum,2109532364,,,2.90557,2.90557,,-0.02923,0.37304,Stable/Up,1,Liquid Staking,,,,2.91554,,,,2.90557,2.90557,,,,,,,
SUSDS,Sky Lending,Ethereum,2479468541,,,4.5,,,0,0,Stable/Up,2,CDP,,,,5.23333,,,,4.5,0,,,,,,,
DAI,Sky Lending,Ethereum,839598199,,,3.5,,,0,0,Stable/Up,1,CDP,,,,4.23333,,,,3.5,0,,,,,,,DSR
USDS,SparkLend,Ethereum,570537575,,4.5,5.96753,,5.96753,-2.37982,0.15692,Stable/Up,1,Lending,,,,6.8483,,,,5.96753,0,,,,,,,SKY Farming Pool
WETH,SparkLend,Ethereum,110030070,,,1.90529,1.90529,,-0.14639,0.01829,Down,2,Lending,,,,2.03851,,,,1.90529,1.90529,-2.47431,,-2.47431,580281416,470251346,110030070,
DAI,SparkLend,Ethereum,109401909,,,4.37678,4.37678,,0.09743,-0.05607,Stable/Up,1,Lending,,,,4.90793,,,,4.37678,4.37678,-4.90169,,-4.90169,865735113,756333204,109401909,
WBTC,SparkLend,Ethereum,106921579,,,0.00007,0.00007,,0,0,,,Lending,,,,0.00006,,,,0.00007,0.00007,-0.01711,,-0.01711,107463521,541942,106921579,
RETH,SparkLend,Ethereum,37467148,Yield Bearing (RocketPool),2.90557,0.00008,0.00008,,0,-0.00374,,,Lending,,,,0.0042,,,,2.90565,2.90565,-0.25599,,-0.25599,37481081,13933,37467148,
USDS,SparkLend,Ethereum,17583299,Yield Bearing (Sky),4.5,1.45439,1.45439,,0.00013,1.38337,Stable/Up,2,Lending,,,,0.15027,,,,1.45439,1.45439,-4.90169,,-4.90169,25001737,7418438,17583299,
ETHX,Stader,Ethereum,227158293,,,3.26066,3.26066,,0.04397,0.1326,Stable/Up,2,Liquid Staking,,3.26066,3.26066,2.88436,,,,3.26066,3.26066,,,,,,,
OSETH,StakeWise V2,Ethereum,267467649,,,3.60927,,,0.15968,0.62149,Stable/Up,2,Liquid Staking,,,,2.93357,,,,3.60927,0,,,,,,,
RSWETH,Swell Liquid Restaking,Ethereum,70470124,,,2.67238,2.67238,,0,-0.11074,Stable/Up,3,Liquid Restaking,,2.65818,2.65818,2.84513,,,,6.61459,6.61459,,,,,,,
SWETH,Swell Liquid Staking,Ethereum,77939278,,,3.94221,3.94221,,0,0.97899,Stable/Up,1,Liquid Staking,,3.94221,3.94221,3.1608,,,,3.94221,3.94221,,,,,,,
AGETH,Upshift,Ethereum,44357398,Yield Bearing (Kelp),3.02,0.01,0.01,,0,0,Stable/Up,3,Onchain Capital Allocator,,,,0.01,,,,0.01,0.01,,,,,,,
