Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
YCETH,Napier,Arbitrum,19055317573,4.50068,4.50068,,,,,,Yield,,,,4.50051,,,,4.50068,4.50068,,,,,,,Principal Token | Maturity Thu Dec 25 2025
STETH,Lido,Ethereum,13786298477,3.122,3.122,,-4.227,0.335,Stable/Up,3,Liquid Staking,,,,3.04791,,,,3.122,3.122,,,,,,,
WEETH,ether.fi Stake,Ethereum,3318419546,5.40818,4.93189,0.47629,-0.26997,1.19724,Down,2,Liquid Restaking,,3.68806,3.68806,3.53556,,,,5.40818,4.93189,,,,,,,
SUSDS,Sky Lending,Ethereum,3049157735,4.5,,,0,0,Stable/Up,2,CDP,,,,5.44444,,,,4.5,0,,,,,,,
WBTC,AAVE V3,Ethereum,2857828007,0.02121,0.02121,,0.00007,-0.00483,Stable/Up,3,Lending,,,,0.02474,,,,0.02121,0.02121,-0.46049,,-0.46049,3147724464,289896457,2857828007,
WBETH,Binance staked ETH,Ethereum,2833520444,3.23025,3.23025,,-1.30342,0.27119,Stable/Up,2,Liquid Staking,,,,2.91215,,,,3.23025,3.23025,,,,,,,
WEETH,AAVE V3,Ethereum,2322277608,0.00065,0.00065,,0,0.00001,,,Lending,,,,0.00078,,,,0.00065,0.00065,-1.02688,,-1.02688,2324956367,2678758,2322277609,
SUSDE,Ethena USDe,Ethereum,2158934761,4.08068,4.08068,,0.07399,-6.63809,Stable/Up,3,Basis Trading,,,,6.03391,,,,4.08068,4.08068,,,,,,,7 days unstaking
WSTETH,AAVE V3,Ethereum,2029646569,0.09134,0.09134,,-0.0052,-0.0232,Stable/Up,2,Lending,,,,0.10684,,,,3.21334,3.21334,-0.43851,,-0.43851,2599633795,569987225,2029646570,
RETH,Rocket Pool,Ethereum,1940163336,2.8537,2.8537,,0.03072,0.39461,Stable/Up,1,Liquid Staking,,,,2.94882,,,,2.8537,2.8537,,,,,,,
JITOSOL,Jito Liquid Staking,Solana,1808877413,7.71,7.71,,0.15,0.02,Stable/Up,3,Liquid Staking,,,,7.83832,,,,7.71,7.71,,,,,,,
TRX,JustLend,Tron,1607655934,0.0334,0.0334,,0.00117,0.00105,Stable/Up,2,Lending,,,,0.03017,,,,0.0334,0.0334,-2.43772,,-2.43772,1632511011,24855078,1607655933,
USDT,AAVE V3,Ethereum,1483810323,1.83135,1.83135,,-0.00872,-1.19459,Stable/Up,3,Lending,,,,2.68614,,,,1.83135,1.83135,-3.6429,,-3.6429,3361386592,1877576269,1483810323,
STRX,JustLend,Tron,1149344919,0.00003,0.00003,,-0.00001,0,,,Lending,,,,0.00005,,,,0.00003,0.00003,-2.00049,,-2.00049,1149364478,19559,1149344919,
USDC,AAVE V3,Ethereum,917534463,2.55772,2.55772,,0.01187,-0.33883,Stable/Up,3,Lending,,,,2.80617,,,,2.55772,2.55772,-4.30514,,-4.30514,2699532853,1781998391,917534462,
CBBTC,AAVE V3,Ethereum,910188068,0.00663,0.00663,,-0.0002,0.00437,Stable/Up,2,Lending,,,,0.00454,,,,0.00663,0.00663,-0.25754,,-0.25754,959616380,49428311,910188069,
BNSOL,Binance Staked SOL,Solana,899772503,5.98326,5.98326,,-0.26026,-1.03393,Down,1,Liquid Staking,,,,6.17986,,,,5.98326,5.98326,,,,,,,
DAI,Sky Lending,Ethereum,876099748,3.5,,,0,0,Stable/Up,2,CDP,,,,4.44028,,,,3.5,0,,,,,,,DSR
RSETH,Kelp,Ethereum,864429091,3.06,,,-0.08,0.19,Stable/Up,2,Liquid Restaking,,,,2.94362,,,,3.06,0,,,,,,,
BTCB,Venus Core Pool,BSC,611254766,0.02441,0.02441,,-0.00406,-0.00611,Stable/Up,3,Lending,,,,0.02443,,,,0.02441,0.02441,-0.52405,0,-0.52405,649047060,37792293,611254767,
USD0++,Usual,Ethereum,602922444,13.63651,,13.63651,2.27571,5.9617,Stable/Up,1,RWA,,,,9.69329,,,,13.63651,0,,,,,,,
METH,mETH Protocol,Ethereum,573462995,3.27875,3.27875,,-3.65732,-0.36588,Stable/Up,2,Liquid Staking,,4.70174,4.70174,3.80739,,,,3.27875,3.27875,,,,,,,
BTC,JustLend,Tron,520316430,0.00153,0.00153,,0,0,,,Lending,,,,0.00149,,,,0.00153,0.00153,-2.02522,,-2.02522,520754263,437833,520316430,
MSOL,Marinade Liquid Staking,Solana,498150208,9.66209,9.66209,,2.45066,2.62988,Stable/Up,1,Liquid Staking,,,,8.44771,,,,9.66209,9.66209,,,,,,,
JUPSOL,Jupiter Staked SOL,Solana,441688214,8.55391,8.55391,,0,0.21775,Stable/Up,3,Liquid Staking,,,,8.6874,,,,8.55391,8.55391,,,,,,,
USDS,SparkLend,Ethereum,438973229,7.12444,,7.12444,0.07899,1.08546,Stable/Up,2,Lending,,,,6.80414,,,,7.12444,0,,,,,,,SKY Farming Pool
USDS,AAVE V3,Ethereum,380976343,0.05609,0.05609,,0.00065,-0.01593,Stable/Up,3,Lending,,,,0.0992,,,,0.05609,0.05609,-6.00846,,-6.00846,384969365,3993021,380976344,
WBNB,Venus Core Pool,BSC,358210360,1.39626,1.39626,,0.78876,0.81775,Stable/Up,2,Lending,,,,1.48663,,,,1.39626,1.39626,-4.99332,0,-4.99332,596487064,238276703,358210361,
WETH,AAVE V3,Ethereum,335412729,2.05758,2.05758,,-0.82034,0.07932,Stable/Up,3,Lending,,,,2.17062,,,,2.05758,2.05758,-2.69482,,-2.69482,3297106998,2961694269,335412729,
SPDAI,Morpho Blue,Ethereum,325094065,5.91247,5.16699,0.74548,-0.05488,0.03516,Stable/Up,2,Lending,,,,6.81833,,,,5.91247,5.16699,,,,,,,
USDC.E,AAVE V3,Sonic,321610179,0.12698,0.12698,,0.01325,0.00178,Stable/Up,3,Lending,,,,0.35368,,,,0.12698,0.12698,-1.1878,,-1.1878,364958997,43348818,321610179,
SUPEROETHB,Origin Ether,Base,319331651,4.69669,,,-0.07271,0.46161,Stable/Up,3,Liquid Staking,,,,4.98873,,,,4.69669,0,,,,,,,
WETH-SUPEROETHB,Aerodrome Slipstream,Base,284160019,0.14204,,0.14204,-0.00347,0.03843,Stable/Up,3,Dexs,,,,0.11775,,,,0.14204,0,,,,,,,CL1 - 0.04%
WBETH,Binance staked ETH,BSC,279543265,3.23025,3.23025,,-1.30342,0.27119,Stable/Up,2,Liquid Staking,,,,2.91215,,,,3.23025,3.23025,,,,,,,
OSETH,StakeWise V2,Ethereum,244489782,3.04894,,,-0.00277,0.12055,Stable/Up,3,Liquid Staking,,,,2.91334,,,,3.04894,0,,,,,,,
BTC.B,AAVE V3,Avalanche,237405664,0.0292,0.0292,,0.00043,0.01375,Stable/Up,2,Lending,,,,0.00941,,,,0.0292,0.0292,-0.75352,,-0.75352,249491644,12085980,237405664,
USDT,Venus Core Pool,BSC,236287016,3.40532,3.40532,,-0.43077,-0.46068,Stable/Up,2,Lending,,,,4.916,,,,3.40532,3.40532,-7.53361,0,-7.53361,474701508,238414492,236287016,
USDD,JustLend,Tron,225946677,8.38293,0.0648,8.31813,0.25863,0.7015,Stable/Up,3,Lending,,,,8.80505,,,,8.38293,0.0648,-7.08373,,-7.08373,228143557,2196879,225946678,
JUPSOL,Kamino Lend,Solana,222194197,0.00004,0.00004,,0.00001,0,,,Lending,,,,0.00004,,,,8.55395,8.55395,-1.03041,,-1.03041,222606082,411885,222194197,
USUALUSDC+,Morpho Blue,Ethereum,218069156,6.54279,6.38578,0.15702,1.17306,0.81515,Stable/Up,3,Lending,,,,7.8612,,,,6.54279,6.38578,,,,,,,
USDC,Fluid Lending,Ethereum,212686856,4.12,1.93,2.19,0.12,-1.22,Stable/Up,3,Lending,,,,5.62322,,,,4.12,1.93,,,,,,,
ETHX,Stader,Ethereum,209586285,2.89564,2.89564,,-0.19732,-0.25141,Stable/Up,3,Liquid Staking,,2.89564,2.89564,2.89467,,,,2.89564,2.89564,,,,,,,
WBTC,Compound V2,Ethereum,208372490,0.00618,0.00618,,-0.00001,-0.0012,Stable/Up,2,Lending,,,,0.00717,,,,0.00618,0.00618,-2.62959,0,-2.62959,209083956,711466,208372490,
EUSDE,Pendle,Ethereum,207904977,8.21539,8.21539,,0.58198,-1.5407,Stable/Up,3,Yield,,,,11.42203,,,,8.21539,8.21539,,,,,,,For buying PT-eUSDe-29MAY2025
EUSDE,Pendle,Ethereum,207904977,2.93063,0.87062,2.06001,0.22213,0.34098,Stable/Up,3,Yield,,,,3.78497,,,,2.93063,0.87062,,,,,,,For LP | Maturity 29MAY2025
USDE,AAVE V3,Ethereum,205089458,0.11037,0.11037,,0.05271,-1.27644,Stable/Up,3,Lending,,,,2.51286,,,,0.11037,0.11037,-1.05058,,-1.05058,238497265,33407806,205089459,
WBTC,AAVE V3,Arbitrum,204531722,0.00739,0.00739,,-0.00098,-0.00282,Stable/Up,3,Lending,,,,0.00896,,,,0.00739,0.00739,-0.27191,,-0.27191,216294224,11762502,204531722,
USDX,Stables Labs USDX,BSC,197226328,2.85632,2.85632,,0,0,Stable/Up,2,Basis Trading,,,,2.85632,,,,2.85632,2.85632,,,,,,,7 days unstaking
USDT,Fluid Lending,Ethereum,195368398,5.01,2.63,2.38,-0.29,-0.77,Stable/Up,3,Lending,,,,5.76278,,,,5.01,2.63,,,,,,,
SOL,Kamino Lend,Solana,195227452,2.47586,2.47586,,0.13166,-1.75416,Stable/Up,3,Lending,,,,3.72152,,,,2.47586,2.47586,-4.64434,,-4.64434,533125283,337897831,195227452,
CBETH,Coinbase Wrapped Staked ETH,Ethereum,186003151,3.20508,3.20508,,-2.18123,0.05364,Stable/Up,2,Liquid Staking,,,,3.20905,,,,3.20508,3.20508,,,,,,,
APT,Amnis Finance,Aptos,175208605,9.25223,9.25223,,0.04377,-0.02002,Stable/Up,3,Liquid Staking,,,,9.38967,,,,9.25223,9.25223,,,,,,,
DAI-USDC-USDT,Curve DEX,Ethereum,171871212,0.00052,0,0.00052,0.00002,-0.00013,,,Dexs,,,,0.00506,,,,0.00052,0,,,,,,,
LSETH,Liquid Collective,Ethereum,171151722,4.82821,4.82821,,0.60489,1.8148,Down,3,Liquid Staking,,4.82821,4.82821,3.08215,,,,4.82821,4.82821,,,,,,,
WSTETH,AAVE V3,Ethereum,161112128,0.22365,0.22365,,-0.00688,-0.01563,Stable/Up,3,Lending,,,,0.23207,,,,3.34565,3.34565,-0.3793,,-0.3793,424729197,263617069,161112128,lido-market
SAVAX,Benqi Staked Avax,Avalanche,156878736,5.38206,5.38206,,-0.00174,-0.00753,Down,2,Liquid Staking,,,,5.39867,,,,5.38206,5.38206,,,,,,,Unstaking Cooldown: 15days
GHO,AAVE V3,Ethereum,150188663,11.69735,,,-0.03931,-1.15544,Stable/Up,3,Lending,,,,12.97736,,,,11.69735,0,,,,,,,
WEETH,AAVE V3,Arbitrum,148419488,0.01554,0.01554,,-0.00028,-0.00056,Stable/Up,3,Lending,,,,0.01631,,,,0.01554,0.01554,-1.45366,,-1.45366,151284676,2865187,148419489,
LINK,AAVE V3,Ethereum,143370368,0.02789,0.02789,,0.00241,0.00194,Down,1,Lending,,,,0.02144,,,,0.02789,0.02789,-0.73641,,-0.73641,150494833,7124465,143370368,
SRUSD,Reservoir Protocol,Ethereum,142347964,6.5,,,0,-0.25,Stable/Up,2,CDP,,,,6.76862,,,,6.5,0,,,,,,,
CBBTC,Kamino Lend,Solana,142225265,0.00509,0.00509,,-0.00051,-0.0046,Stable/Up,2,Lending,,,,0.00695,,,,0.00509,0.00509,-0.19115,,-0.19115,147129903,4904638,142225265,
JITOSOL,Kamino Lend,Solana,133669985,0.00338,0.00338,,-0.0003,-0.00022,,,Lending,,,,0.00211,,,,7.71338,7.71338,-1.1829,,-1.1829,136955391,3285406,133669985,
DAI,SparkLend,Ethereum,133001883,4.23762,4.23762,,-0.09678,-0.12756,Stable/Up,1,Lending,,,,5.06881,,,,4.23762,4.23762,-4.90169,,-4.90169,862844814,729842932,133001882,
USDC,Compound V3,Ethereum,127173776,3.7168,3.52501,0.1918,0.1542,-0.02576,Stable/Up,1,Lending,,,,4.10615,,,,3.7168,3.52501,-4.60797,0.26076,-4.34721,500749884,373576109,127173775,
BBSOL,Bybit Staked SOL,Solana,126964068,7.8,,,-0.18,0.04,Stable/Up,1,Liquid Staking,,,,7.0792,,,,7.8,0,,,,,,,
WBTC-USDC,Uniswap V3,Ethereum,126439040,13.50179,13.50179,,-2.99071,-5.42166,Down,2,Dexs,,178.0824,178.0824,19.86843,15590443.11711,307785837.72183,,13.50179,13.50179,,,,,,,0.3%
DSOL,Drift Staked SOL,Solana,123733213,9.25235,9.25235,,0.51086,1.02416,Stable/Up,2,Liquid Staking,,,,8.95145,,,,9.25235,9.25235,,,,,,,
WEETH,AAVE V3,Base,120815453,0.00319,0.00319,,0.00002,-0.00011,,,Lending,,,,0.00415,,,,0.00319,0.00319,-1.12062,,-1.12062,121443265,627812,120815453,
BBQUSDC,Morpho Blue,Ethereum,119349826,6.71474,6.2541,0.46063,1.37405,0.96581,Stable/Up,3,Lending,,,,6.26801,,,,6.71474,6.2541,,,,,,,
SFRXETH,Frax Ether,Ethereum,119289839,3.57752,3.57752,,0.01646,0.70814,Stable/Up,2,Liquid Staking,,,,3.11021,,,,3.57752,3.57752,,,,,,,
STEAKUSDC,Morpho Blue,Ethereum,115265417,4.06029,3.26441,0.79589,-0.21898,-0.19425,Stable/Up,2,Lending,,,,5.06764,,,,4.06029,3.26441,,,,,,,
WSTETH-AAVE,Balancer V2,Ethereum,114137805,0.87107,0.87107,,0.18444,0.25188,Stable/Up,1,Dexs,,,,0.59565,,,,1.65157,1.65157,,,,,,,
WAVAX,AAVE V3,Avalanche,110566538,0.66372,0.66372,,-0.00064,-0.11062,Stable/Up,1,Lending,,,,1.19532,,,,0.66372,0.66372,-3.00498,,-3.00498,152749260,42182723,110566537,
CBBTC,AAVE V3,Base,109948082,0.03403,0.03403,,0.0015,-0.0287,Stable/Up,3,Lending,,,,0.06541,,,,0.03403,0.03403,-0.58337,,-0.58337,124470593,14522511,109948082,
BTC,b14g,Bitcoin,103240047,0.88314,0.88314,,,0.0749,Stable/Up,3,Restaking,,,,1.00908,,,,0.88314,0.88314,,,,,,,
USDC-WETH,Uniswap V3,Ethereum,102438079,38.07969,38.07969,,1.7124,11.31649,Down,3,Dexs,,286.12403,286.12403,33.36458,213743047.57996,1935454773.49493,,38.07969,38.07969,,,,,,,0.05%
WBTC,SparkLend,Ethereum,99520046,0.00007,0.00007,,0,0,,,Lending,,,,0.00006,,,,0.00007,0.00007,-0.01694,,-0.01694,100019422,499376,99520046,
WBTC,AAVE V2,Ethereum,98824526,0.00064,0.00064,,-0.00009,-0.00027,,,Lending,,,,0.00189,,,,0.00064,0.00064,-0.19818,,-0.19818,102113028,3288502,98824526,
WBTC,AAVE V3,Polygon,98543087,0.00183,0.00183,,0,-0.00059,,,Lending,,,,0.00287,,,,0.00183,0.00183,-0.1354,,-0.1354,101286002,2742915,98543087,
FPI-FRAX,Frax,Ethereum,96529066,0.00002,0.00002,,0,0.00002,,,Algo-Stables,,,,0,,,,0.00002,0.00002,,,,,,,
USDC,AAVE V3,Arbitrum,95634844,2.10315,2.10315,,-0.04623,-0.28986,Stable/Up,3,Lending,,,,2.66453,,,,2.10315,2.10315,-3.94701,,-3.94701,234429063,138794219,95634844,
ETH+,Reserve Protocol,Ethereum,94829571,2.03311,2.03311,,0.0151,0.04253,Stable/Up,2,Indexes,,,,2.47759,,,,2.03311,2.03311,,,,,,,
APXETH,Dinero (pxETH),Ethereum,94460733,3.52,3.52,,0.02,-0.1,Stable/Up,2,Liquid Staking,,,,3.69561,,,,3.52,3.52,,,,,,,
STEAKRUSD,Morpho Blue,Ethereum,91697689,5.74856,4.95269,0.79587,0.05273,-0.57435,Down,1,Lending,,,,6.24516,,,,5.74856,4.95269,,,,,,,
SAVAX,Benqi Lending,Avalanche,90693541,0.88861,0.0007,0.88791,0.00263,-0.01835,Stable/Up,2,Lending,,,,0.89623,,,,6.27067,5.38276,-2.0237,0,-2.0237,90725745,32203,90693542,
XSOLVBTC,Avalon Finance,Bob,89128127,0.00034,0.00034,,,,,,Lending,,,,0.00034,,,,0.00034,0.00034,-0.0553,,-0.0553,89869053,740926,89128127,
USD0-USD0++,Curve DEX,Ethereum,89027058,0.24,0.24,,-1.38,0.12,Stable/Up,2,Dexs,,,,0.96805,,,,0.24,0.24,,,,,,,
USDS-USDC,Raydium AMM,Solana,88009335,0.49622,0.2,0.29622,-0.10877,0.10441,Stable/Up,3,Dexs,,0.08,0.08,0.42171,4739971.38479,23586966.9548,,0.49622,0.2,,,,,,,Concentrated - 0.01%
CBBTC,SparkLend,Ethereum,87704419,0.0001,0.0001,,0,-0.23639,,,Lending,,,,0.02528,,,,0.0001,0.0001,-0.02895,,-0.02895,88086265,381845,87704420,
CVXCRV,Convex Finance,Ethereum,86711482,14.58,,14.58,0.12,1.5,Stable/Up,3,Yield,,,,13.53721,,,,14.58,0,,,,,,,
USDC,Venus Core Pool,BSC,86343372,3.84695,3.84695,,-0.05124,0.58487,Stable/Up,2,Lending,,,,5.42767,,,,3.84695,3.84695,-8.00724,0,-8.00724,185212950,98869578,86343372,
IFIL,GLIF,Filecoin,84926450,10.5835,,,-0.00307,-0.13009,Down,1,Liquid Staking,,,,10.7216,,,,10.5835,0,,,,,,,GLIF
TBTC,AAVE V3,Ethereum,82585158,0.00438,0.00438,,0.00044,0.00009,,,Lending,,,,0.00479,,,,0.00438,0.00438,-0.20918,,-0.20918,86191091,3605933,82585158,
WSTETH,Fluid Lending,Ethereum,82327544,0.13,0.13,,-0.03,0,Stable/Up,2,Lending,,,,0.18957,,,,1.6909999999999998,1.6909999999999998,-13.35,0,-13.35,82327544,73796399,8531145,
VENOM,VenomStake,Venom,82251185,10.5069,10.5069,,0.02106,-0.02589,Stable/Up,2,Liquid Staking,,,,10.52027,,,,10.5069,10.5069,,,,,,,
SUSDE,Pendle,Ethereum,81534555,6.92906,5.49155,1.43751,-0.61726,-3.23933,Stable/Up,3,Yield,,,,7.32833,,,,6.92906,5.49155,,,,,,,For LP | Maturity 29MAY2025
SUSDE,Pendle,Ethereum,81534555,7.22534,7.22534,,-0.04187,-1.51446,Stable/Up,3,Yield,,,,9.2828,,,,7.22534,7.22534,,,,,,,For buying PT-sUSDe-29MAY2025
SUSDE,Echelon Market,Aptos,81136184,10.58608,0.21822,10.36786,-0.02199,-3.3661,Stable/Up,3,Lending,,,,14.40611,,,,10.58608,0.21822,,,,,,,
USDS-USDC,Kamino Liquidity,Solana,78463008,0.22166,0.22166,,-0.02591,0.09228,Stable/Up,3,Liquidity manager,,0.14197,0.14197,0.12435,1780943.09645,6759288.54254,,0.22166,0.22166,,,,,,,
ETH-STETH,Curve DEX,Ethereum,75717976,2.86,2.86,,-6.78,1.24,Stable/Up,1,Dexs,,,,2.19969,,,,2.86,2.86,,,,,,,
RETH,AAVE V3,Ethereum,75578408,0.00292,0.00292,,-0.00005,-0.00031,,,Lending,,,,0.00376,,,,2.85662,2.85662,-0.23105,,-0.23105,76717899,1139491,75578408,
GTUSDCCORE,Morpho Blue,Ethereum,75034681,5.96329,5.73784,0.22546,0.86924,0.89125,Stable/Up,3,Lending,,,,5.85414,,,,5.96329,5.73784,,,,,,,
SWETH,Swell Liquid Staking,Ethereum,74228826,3.19171,3.19171,,0,0.24277,Stable/Up,2,Liquid Staking,,3.19171,3.19171,3.17929,,,,3.19171,3.19171,,,,,,,
BTCB,AAVE V3,BSC,74136621,0.00192,0.00192,,0.00011,-0.0005,,,Lending,,,,0.00257,,,,0.00192,0.00192,-0.19308,,-0.19308,75068405,931783,74136622,
SDAI,sDAI,Gnosis,73972638,5.5955,,,-0.1828,0.0492,Stable/Up,1,CDP,,,,6.93647,,,,5.5955,0,,,,,,,
XUSDC,Multipli.fi,Ethereum,70579776,8.06,,,-4.08,,,,Yield,,,,10.73185,,,,8.06,0,,,,,,,
SOLVBTC,Venus Core Pool,BSC,68795004,0.0223,0.0223,,-0.0074,-0.01247,Stable/Up,3,Lending,,,,0.05006,,,,0.0223,0.0223,-0.50082,0,-0.50082,72848793,4053789,68795004,
FRAX-USDE,Curve DEX,Ethereum,68291719,0.03006,0.03,0.00006,-0.09999,-0.01002,Stable/Up,3,Dexs,,,,0.11264,,,,0.03006,0.03,,,,,,,
WBTC.B-USDC,GMX V2 Perps,Arbitrum,67603719,22,22,,4.27659,12.40972,Down,2,Derivatives,,,,9.7374,,,,22,22,,,,,,,
FRAX-USDE,Convex Finance,Ethereum,67473487,0.12902,0.04,0.08902,-0.08697,-0.0098,Stable/Up,3,Yield,,,,0.28686,,,,0.12902,0.04,,,,,,,
USDT,JustLend,Tron,67048901,2.43477,2.43477,,-0.25577,2.17368,Stable/Up,1,Lending,,,,2.26418,,,,2.43477,2.43477,-4.11195,,-4.11195,195998998,128950097,67048901,
BTC.B,Benqi Lending,Avalanche,66525926,0.96904,0.15058,0.81847,-0.0182,-0.19856,Stable/Up,2,Lending,,,,1.15546,,,,0.96904,0.15058,-0.79492,0,-0.79492,89101950,22576024,66525926,
OETH,Origin Ether,Ethereum,65766607,2.8026,,,0.04734,0.6126,Stable/Up,3,Liquid Staking,,,,3.0513,,,,2.8026,0,,,,,,,
CSUSDL,Morpho Blue,Ethereum,65752049,4.67308,0.16949,4.5036,0.08336,-0.07352,Down,3,Lending,,,,4.65172,,,,4.67308,0.16949,,,,,,,
CUSDO-USDC,Curve DEX,Ethereum,65539922,1.95,1.95,,-0.16,0.31,Stable/Up,3,Dexs,,,,1.95071,,,,1.95,1.95,,,,,,,
RSWETH,Swell Liquid Restaking,Ethereum,65386534,2.78312,2.78312,,0,0.10109,Stable/Up,3,Liquid Restaking,,2.76895,2.76895,3.43958,,,,5.97483,5.97483,,,,,,,
SFRAX,Frax,Ethereum,65219163,4.5992,4.5992,,0.00065,-0.39969,Stable/Up,3,Algo-Stables,,,,4.98397,,,,4.5992,4.5992,,,,,,,
VVS-WCRO,VVS Standard,Cronos,64146762,3.50189,0.18894,3.31295,-0.01106,0.06546,Stable/Up,1,Dexs,,,,3.55278,,,,3.50189,0.18894,,,,,,,
DAI,AAVE V3,Ethereum,63480120,1.86077,1.86077,,0.15433,-0.79409,Stable/Up,3,Lending,,,,2.9556,,,,1.86077,1.86077,-4.02252,,-4.02252,165646251,102166131,63480120,
WETH,Compound V2,Ethereum,63332573,0.01912,0.01912,,-0.00001,0.00138,Stable/Up,3,Lending,,,,0.03815,,,,0.01912,0.01912,-2.2653,0,-2.2653,64015665,683092,63332573,
DAI-USDC,Arrakis V1,Ethereum,62369678,0.49284,0.49284,,0,0,Stable/Up,2,Liquidity manager,,,,0.67973,,,,0.49284,0.49284,,,,,,,
DAI-USDC,Uniswap V3,Ethereum,62126633,1.26386,1.26386,,0.70696,1.0507,Stable/Up,2,Dexs,,0.32165,0.32165,0.74171,21512076.26353,191865867.95148,,1.26386,1.26386,,,,,,,0.01%
WSTETH,AAVE V3,Arbitrum,61407667,0.0002,0.0002,,0.00001,0.00001,,,Lending,,,,0.00021,,,,3.1222,3.1222,-0.01146,,-0.01146,62580750,1173083,61407667,
MSOL,Kamino Lend,Solana,60723448,0.00156,0.00156,,-0.00002,-0.00014,,,Lending,,,,0.00173,,,,9.663649999999999,9.663649999999999,-1.12798,,-1.12798,61712085,988637,60723448,
USUALX,Usual,Ethereum,60623521,61.6667,,61.6667,-0.29253,1.58143,Down,3,RWA,,,,74.42932,,,,61.6667,0,,,,,,,
SOLVBTC.M,Colend Protocol,Core,59902647,0.01462,0.01462,,0,-0.00913,Stable/Up,3,Lending,,,,0.02199,,,,0.01462,0.01462,-2.05659,,-2.05659,60545166,642520,59902646,
WETH,SparkLend,Ethereum,57510589,3.96822,3.96822,,0.26105,2.2063,Down,2,Lending,,,,2.04172,,,,3.96822,3.96822,-4.68661,,-4.68661,528501205,470990616,57510589,
REUSDC,Morpho Blue,Ethereum,56392570,5.33932,4.55035,0.78897,-0.2061,-0.28421,Stable/Up,3,Lending,,,,7.74216,,,,5.33932,4.55035,,,,,,,
HSOL,Helius Staked SOL,Solana,56216774,8.53587,8.53587,,0,0.35982,Stable/Up,1,Liquid Staking,,,,8.34853,,,,8.53587,8.53587,,,,,,,
WETH-USDT,Uniswap V3,Ethereum,56001670,28.1373,28.1373,,-11.33531,15.96938,Down,2,Dexs,,178.25413,178.25413,23.88024,14390279.67988,113982719.84409,,28.1373,28.1373,,,,,,,0.3%
STUSDT,stUSDT,Tron,55192544,3.96059,,,-0.00347,-0.01794,Down,1,RWA,,,,3.9974,,,,3.96059,0,,,,,,,
WBTC-WETH,Uniswap V3,Ethereum,54816603,55.23803,55.23803,,19.23653,50.61788,Down,3,Dexs,,31.45304,31.45304,10.58319,27652613.72365,105794662.51402,,55.23803,55.23803,,,,,,,0.3%
BERASTONE,Pendle,Ethereum,53778872,0.79566,0.77493,0.02073,0.09134,-0.86809,Stable/Up,3,Yield,,,,1.08286,,,,0.79566,0.77493,,,,,,,For LP | Maturity 10APR2025
BERASTONE,Pendle,Ethereum,53778872,6.15711,6.15711,,0.43515,-3.14353,Stable/Up,1,Yield,,,,7.10091,,,,6.15711,6.15711,,,,,,,For buying PT-beraSTONE-10APR2025
USDT,Compound V3,Ethereum,53658346,3.85738,3.32829,0.52909,-0.01164,0.03731,Stable/Up,3,Lending,,,,3.98404,,,,3.85738,3.32829,-4.43453,0.53652,-3.8980099999999998,181523075,127864729,53658346,
USDC,Kamino Lend,Solana,53492935,3.49158,3.49158,,-0.34379,-0.64078,Stable/Up,3,Lending,,,,4.50211,,,,3.49158,3.49158,-5.87255,,-5.87255,281859567,228366632,53492935,
USDS,AAVE V3,Ethereum,51715669,2.29395,2.29395,,0.20957,1.01337,Stable/Up,3,Lending,,,,1.97983,,,,2.29395,2.29395,-4.46932,,-4.46932,120350694,68635025,51715669,lido-market
SMUSDC,Morpho Blue,Base,51328670,6.06141,4.79389,1.26752,0.22875,-1.36585,Stable/Up,2,Lending,,,,7.64018,,,,6.06141,4.79389,,,,,,,
STAPT,Aries Markets,Aptos,51194985,0.00011,0.00011,,0.00001,0,,,Lending,,,,0.00007,,,,0.00011,0.00011,,,,,,,
HAEDALSUI,NAVI Lending,Sui,51118524,0.02041,0.02041,,0.00003,-0.00067,Stable/Up,2,Lending,,,,0.02428,,,,0.02041,0.02041,,,,,,,
SPARKUSDC,Morpho Blue,Base,50791362,5.4012,4.43725,0.96396,-0.16186,-1.12382,Stable/Up,3,Lending,,,,5.63527,,,,5.4012,4.43725,,,,,,,
CDCETH,Crypto.com Staked ETH,Cronos,50695153,3.64,3.64,,1.56,-3.64,Stable/Up,2,Liquid Staking,,3.64,3.64,2.73635,,,,3.64,3.64,,,,,,,
STLINK,stake.link liquid,Ethereum,48707985,5.37896,5.37896,,0,-0.09245,Stable/Up,1,Liquid Staking,,,,5.58026,,,,5.37896,5.37896,,,,,,,
USDC,AAVE V3,Base,48673402,2.63883,2.63883,,-0.14725,-0.38961,Stable/Up,3,Lending,,,,3.25801,,,,2.63883,2.63883,-4.42119,,-4.42119,144507137,95833736,48673401,
SOLVBTC.CORE,Colend Protocol,Core,48638272,0.00003,0.00003,,0,-0.00006,,,Lending,,,,0.0002,,,,0.00003,0.00003,-0.01417,,-0.01417,48767794,129521,48638273,
