Pool,Project,Chain,TVL,APY,APY Base,APY Reward,Change 1d,Change 7d,Outlook,Confidence,Category,IL 7d,APY Base 7d,APY Net 7d,APY Mean 30d,Volume 1d,Volume 7d,APY Base Inception,APY Including LSD APY,APY Base Including LSD APY,APY Base Borrow,APY Reward Borrow,APY Borrow,Total Supply USD,Total Borrow USD,Total Available USD,Pool Meta
ECBBTC-3,Euler V2,Ethereum,4874399,0.46887,0.46887,,-0.03721,-0.03571,Stable/Up,2,Lending,,,,0.43333,,,,0.46887,0.46887,,,,,,,
LDO-WETH,Uniswap V3,Ethereum,4873691,67.78378,67.78378,,35.8867,37.35109,Down,2,Dexs,,24.34901,24.34901,40.97403,3016960.33298,12013589.12384,,67.78378,67.78378,,,,,,,0.3%
LINK,AAVE V3,Polygon,4833249,0.16278,0.16278,,0.00738,0.03995,Stable/Up,2,Lending,,,,0.09392,,,,0.16278,0.16278,-1.77909,,-1.77909,5457415,624166,4833249,
NTRN-DATOM,Astroport,Neutron,4825650,1.54537,1.51637,0.029,-0.07391,0.02421,Stable/Up,1,Dexs,,,,1.6953,,,,1.54537,1.51637,,,,,,,
WAL-SUI,Cetus AMM,Sui,4783919,457.88487,252.76053,205.12434,20.26908,-60.8637,Down,3,Dexs,,,,562.21152,13241326.9568,,,457.88487,252.76053,,,,,,,0.25%
MIM-DAI-USDC-USDT,StakeDAO,Ethereum,4780136,14.34453,0.25,14.09453,2.30287,-2.565,Stable/Up,1,Yield,,,,19.91609,,,,14.34453,0.25,,,,,,,Curve
SDAI-EURE,Balancer V2,Gnosis,4776820,2.66337,2.66337,,-17.0411,-7.34036,Stable/Up,2,Dexs,,,,11.09508,,,,2.66337,2.66337,,,,,,,
WBTC-RUNE,Thorchain,Ethereum,4771470,12.16996,,,0.28022,3.76371,Down,2,Dexs,,,,15.88721,,,,12.16996,0,,,,,,,
SAUCE-HBAR,SaucerSwap V1,Hedera,4764658,25.86233,0,25.86233,-0.06237,-0.01594,Down,3,Dexs,,,,26.37045,,,,25.86233,0,,,,,,,
ALGO,Folks Finance Lending,Algorand,4761696,3.52,3.52,,-0.01,1.73,Stable/Up,2,Lending,,,,4.50963,,,,3.52,3.52,-5.23,,-5.23,16214384,11452688,4761696,
SW-9SETHCORE,Spectra V2,Base,4760500,255.85807,255.85807,,152.36307,241.34115,Down,3,Yield,,,,18.92786,,,,255.85807,255.85807,,,,,,,For PT on Morpho (9Summits)  | Maturity Thu Apr 10 2025
SW-9SETHCORE,Spectra V2,Base,4760500,60.05192,59.99121,0.06071,41.01082,54.40927,Down,3,Yield,,,,6.72077,,,,60.05192,59.99121,,,,,,,For LP on Morpho (9Summits) | Maturity Thu Apr 10 2025
DOGE,Venus Core Pool,BSC,4750306,0.06763,0.06763,,0.00033,0.00414,Stable/Up,2,Lending,,,,0.06544,,,,0.06763,0.06763,-2.64038,0,-2.64038,4907438,157132,4750306,
APT-USDT,ThalaSwap V2,Aptos,4744986,67.6463,53.07864,14.56766,-2.88758,26.85516,Down,3,Dexs,,,,37.31162,,,,72.272415,57.704755,,,,,,,
WBTC(BERACONCRETE),Pendle,Ethereum,4744925,6.13623,6.13623,,0.74174,-2.59321,Stable/Up,3,Yield,,,,9.32218,,,,6.13623,6.13623,,,,,,,For buying PT-WBTC (Bera Concrete)-10APR2025
WBTC(BERACONCRETE),Pendle,Ethereum,4744925,0.62787,0.60622,0.02166,0.12182,-0.56586,Stable/Up,3,Yield,,,,1.47777,,,,0.62787,0.60622,,,,,,,For LP | Maturity 10APR2025
VIRTUAL-WETH,Aerodrome V1,Base,4735120,27.01736,,27.01736,-1.15756,-12.76533,Stable/Up,2,Dexs,,,,31.96941,,,,27.01736,0,,,,,,,
EBTC-WBTC,Curve DEX,Ethereum,4729895,0.2,0.2,,-0.02,-0.1,Stable/Up,3,Dexs,,,,0.45726,,,,0.2,0.2,,,,,,,
CRVUSD-WETH-CRV,Convex Finance,Ethereum,4714648,12.67654,3.02,9.65654,-4.56885,0.23507,Stable/Up,3,Yield,,,,11.71968,,,,12.67654,3.02,,,,,,,
EWBTC-3,Euler V2,Ethereum,4701392,0.61012,0.61012,,-0.04678,-0.42864,Down,1,Lending,,,,1.35486,,,,0.61012,0.61012,,,,,,,
APT,Aptin Finance V2,APTOS,4696728,0.55086,0.55086,,-0.01424,-0.05409,Stable/Up,2,Lending,,,,0.59208,,,,9.803090000000001,9.803090000000001,,,,,,,
USDT,Yearn Finance,Ethereum,4685398,4.06813,4.06813,,0.00099,0.25086,Stable/Up,3,Yield Aggregator,,,,3.98739,,,,4.06813,4.06813,,,,,,,
WSOL-PNUT,Raydium AMM,Solana,4684875,10.74,10.74,,-7.31,-27.13,Stable/Up,2,Dexs,,9.32,9.32,25.71357,551461.94894,5819258.24083,,10.74,10.74,,,,,,,Standard - 0.25%
FRXUSD-FXB20291231,Beefy,Fraxtal,4666772,16.16,,,0.00343,-1.88977,Stable/Up,2,Yield Aggregator,,,,20.48144,,,,16.16,0,,,,,,,Convex
RETH,AAVE V3,Optimism,4666548,0.00065,0.00065,,0.00001,0.00005,,,Lending,,,,0.00065,,,,2.8543499999999997,2.8543499999999997,-0.10921,,-0.10921,4699541,32993,4666548,
SW-USR,Spectra V2,Ethereum,4629280,4.32891,4.29077,0.03815,0.10664,0.17622,Down,2,Yield,,,,4.69958,,,,4.32891,4.29077,,,,,,,For LP on Resolv | Maturity Wed Apr 30 2025
SW-USR,Spectra V2,Ethereum,4629280,18.89803,18.89803,,2.61428,2.85915,Down,2,Yield,,,,17.20124,,,,18.89803,18.89803,,,,,,,For PT on Resolv  | Maturity Wed Apr 30 2025
DOLA-SCRVUSD,Convex Finance,Ethereum,4622026,12.66948,1.75,10.91948,0.01342,-0.81119,Stable/Up,1,Yield,,,,14.54437,,,,12.66948,1.75,,,,,,,
USDC-WETH,Uniswap V3,Ethereum,4605154,58.45633,58.45633,,12.97891,22.98941,Down,3,Dexs,,111.14711,111.14711,40.42508,73753534.20057,435692822.40502,,58.45633,58.45633,,,,,,,0.01%
ETH-FRXETH,Curve DEX,Ethereum,4563677,2.71512,0.78,1.93512,-3.03245,-0.35851,Stable/Up,1,Dexs,,,,2.89479,,,,2.71512,0.78,,,,,,,
WETH-WEETH,Convex Finance,Ethereum,4557740,10.36766,4.81,5.55766,1.24865,1.37237,Stable/Up,1,Yield,,,,7.86147,,,,10.36766,4.81,,,,,,,
STRK,Endur,Starknet,4539404,11.5119,,,0,-0.12835,Down,1,Liquid Staking,,,,11.67112,,,,11.5119,0,,,,,,,xSTRK Pool
ILV-WETH,SushiSwap,Ethereum,4525077,3.96122,3.96122,,1.59548,0.03979,Stable/Up,2,Dexs,,5.61863,5.61863,5.34589,163696.84963,1629789.35565,,3.96122,3.96122,,,,,,,
FDUSD,Venus Core Pool,BSC,4524308,3.83537,3.83537,,0.0038,1.90515,Stable/Up,2,Lending,,,,8.69241,,,,3.83537,3.83537,-5.65344,0,-5.65344,18375955,13851647,4524308,
CRVUSD-TBTC-WSTETH,Curve DEX,Ethereum,4522932,9.14592,5.7,3.44592,-7.8799,2.57835,Down,1,Dexs,,,,7.3289,,,,9.14592,5.7,,,,,,,
GNO-WETH,Balancer V2,Ethereum,4517994,1.11423,1.11423,,0.26058,0.52586,Stable/Up,1,Dexs,,,,0.9221,,,,1.11423,1.11423,,,,,,,
SOL-JITOSOL,Kamino Liquidity,Solana,4499290,1.80312,1.80312,,-0.484,0.67205,Stable/Up,1,Liquidity manager,,1.73472,1.73472,1.21946,2325726.68683,16017167.27088,,5.65812,5.65812,,,,,,,
AM3CRV-AMWBTC-AMWETH,Curve DEX,Polygon,4498168,5.0391,2.96,2.0791,-5.61075,1.40816,Down,2,Dexs,,,,3.63655,,,,5.0391,2.96,,,,,,,
SDAI-EURE,Aura,Gnosis,4488742,1.40848,,1.40848,0.1386,,Stable/Up,3,Yield,,,,2.63515,,,,1.40848,0,,,,,,,
AGETH,Pendle,Ethereum,4482454,3.40075,2.25243,1.14832,-0.25187,-1.47934,Stable/Up,2,Yield,,,,3.9277,,,,3.40075,2.25243,,,,,,,For LP | Maturity 26JUN2025
AGETH,Pendle,Ethereum,4482454,5.18506,5.18506,,0.00275,-0.31441,Stable/Up,2,Yield,,,,5.33294,,,,5.18506,5.18506,,,,,,,For buying PT-agETH-26JUN2025
PWBTC,Morpho Blue,Ethereum,4479740,0.4959,0.48025,0.01565,-0.00548,0.37891,Stable/Up,2,Lending,,,,1.50692,,,,0.4959,0.48025,,,,,,,
SAVAX-WAVAX,Joe V2.1,Avalanche,4470374,0.49377,0.49377,,-0.84726,0.30806,Stable/Up,2,Dexs,,,,0.66295,574986.09004,,,3.1848,3.1848,,,,,,,
0X0-WETH,Uniswap V2,Ethereum,4465564,4.08355,4.08355,,-0.61337,-8.6754,Stable/Up,2,Dexs,,5.67127,5.67127,4.50487,166532.71753,1623425.41813,,4.08355,4.08355,,,,,,,
WSOL-JITOSOL,Raydium AMM,Solana,4460880,2.77825,2.59,0.18825,0.01875,1.19305,Stable/Up,2,Dexs,,1.67,1.67,4.00799,3165762.5455,24762682.81292,,2.77825,2.59,,,,,,,Concentrated - 0.01%
STAPT,Aptin Finance V2,APTOS,4456912,0.38213,0.38213,,0.00391,0.00545,Stable/Up,3,Lending,,,,0.3771,,,,9.634360000000001,9.634360000000001,,,,,,,
WETH,Yearn Finance,Ethereum,4447059,11.91981,2.58399,9.33582,-1.0867,7.47752,Stable/Up,1,Yield Aggregator,,,,5.19803,,,,11.91981,2.58399,,,,,,,
CBETH,AAVE V3,Base,4434446,0.04405,0.04405,,0.00004,0.01033,Stable/Up,3,Lending,,,,0.03586,,,,3.24913,3.24913,-0.89787,,-0.89787,4706082,271635,4434447,
PTUSDE26MAR2025,Notional V3,Ethereum,4424022,59.6572,59.6572,,0,0,Down,2,Lending,,,,59.6572,,,,59.6572,59.6572,,,,,,,Leveraged Vault
XSGD-USDC,Joe V2.1,Avalanche,4412264,1.89828,1.89828,,-2.17675,1.18734,Stable/Up,2,Dexs,,,,2.56627,458731.70006,,,1.89828,1.89828,,,,,,,
USDC-USDY,Cetus AMM,Sui,4402377,11.03258,0.76506,10.26752,0.45344,-6.89899,Stable/Up,3,Dexs,,,,14.63276,925193.59082,,,11.03258,0.76506,,,,,,,0.01%
WETH-WSTETH,Aura,Gnosis,4390966,5.68228,,5.68228,0.68923,,Stable/Up,2,Yield,,,,5.95997,,,,6.46278,0.7805,,,,,,,
WETH-FAI,Aerodrome V1,Base,4384405,62.46032,,62.46032,-1.79229,53.63912,Down,3,Dexs,,,,34.48601,,,,62.46032,0,,,,,,,
WETH-METH,Uniswap V3,Ethereum,4383761,1.78946,1.78946,,-1.22536,1.09825,Down,1,Dexs,,0.11372,0.11372,0.54274,429838.03903,1816867.28723,,3.4288350000000003,3.4288350000000003,,,,,,,0.05%
USDE-USDT,Uniswap V3,Ethereum,4376734,16.23108,16.23108,,2.77501,8.35907,Down,3,Dexs,,25.52858,25.52858,12.28272,19462776.02597,95594292.84071,,16.23108,16.23108,,,,,,,0.01%
IQ-FRAX,Frax,Ethereum,4370933,3.49352,3.49352,,0.3701,1.00734,Stable/Up,2,Algo-Stables,,,,2.65097,,,,3.49352,3.49352,,,,,,,
MANEKI-WSOL,Raydium AMM,Solana,4366730,2.38,2.38,,-1.18,0.58,Stable/Up,3,Dexs,,1.61,1.61,2.26761,113985.41756,939241.96793,,2.38,2.38,,,,,,,Standard - 0.25%
CULT-WETH,Uniswap V3,Ethereum,4358097,10.5384,10.5384,,7.58707,5.33341,Down,1,Dexs,,136.84148,136.84148,13.12634,125828.42892,1525637.12184,,10.5384,10.5384,,,,,,,1%
MIM-USDC,Beefy,Arbitrum,4314675,11.21202,,,-0.35189,-2.84809,Stable/Up,3,Yield Aggregator,,,,14.04298,,,,11.21202,0,,,,,,,Mim
GGAVAX-WAVAX,Joe V2.1,Avalanche,4296725,0.00733,0.00733,,-0.2068,-0.12959,Stable/Up,3,Dexs,,,,0.13472,8561.79786,,,3.0295,3.0295,,,,,,,
WSTETH-SFRXETH-RETH,Balancer V2,Ethereum,4276712,0.94272,0.32547,0.61725,-0.94527,-0.15248,Stable/Up,2,Dexs,,,,1.39947,,,,2.1368725,1.5196224999999999,,,,,,,
MSUSD-FRAXBP,Curve DEX,Ethereum,4272843,13.22113,11.56,1.66113,-37.7716,6.54545,Down,2,Dexs,,,,19.4469,,,,13.22113,11.56,,,,,,,
YES-WETH,Uniswap V3,Base,4260932,0.01113,0.01113,,,-1.26293,Stable/Up,3,Dexs,,,,3.99332,129.90249,191217.74945,,0.01113,0.01113,,,,,,,1%
YVCURVE-GHO-USR,Spectra V2,Ethereum,4254447,9.50324,3.45882,6.04442,-0.30204,-0.16781,Stable/Up,3,Yield,,,,11.43605,,,,9.50324,3.45882,,,,,,,For LP on Yearn (Curve) | Maturity Thu Aug 07 2025
YVCURVE-GHO-USR,Spectra V2,Ethereum,4254447,13.62143,13.62143,,-3.76223,-3.56254,Down,1,Yield,,,,16.90259,,,,13.62143,13.62143,,,,,,,For PT on Yearn (Curve)  | Maturity Thu Aug 07 2025
LON-USDT,SushiSwap,Ethereum,4252261,4.17739,4.17739,,1.25192,2.82083,Down,3,Dexs,,2.55661,2.55661,1.36762,162222.25991,696883.5913,,4.17739,4.17739,,,,,,,
SUSDE-SUSDS,Curve DEX,Ethereum,4249458,4.66,4.66,,0.27,-4.1,Stable/Up,1,Dexs,,,,5.87617,,,,4.66,4.66,,,,,,,
USDC-EURS,Curve DEX,Ethereum,4236750,0.72004,0.72,0.00004,0.34,0.62999,Stable/Up,1,Dexs,,,,0.32698,,,,0.72004,0.72,,,,,,,
USDC-EURS,Convex Finance,Ethereum,4216033,0.97094,0.59,0.38094,0.22274,0.45723,Stable/Up,3,Yield,,,,0.73215,,,,0.97094,0.59,,,,,,,
TETH-WEETH,Curve DEX,Ethereum,4212458,3.62,3.62,,-5.97,0.44,Stable/Up,2,Dexs,,,,3.37986,,,,3.62,3.62,,,,,,,
WSTETH-SFRXETH-RETH,Aura,Ethereum,4209824,0.34087,0.34087,,-1.09644,,Stable/Up,1,Yield,,,,1.006,,,,1.9330733333333332,1.9330733333333332,,,,,,,
EURC,Fluid Lending,Base,4208304,3.35,0.17,3.18,-0.16,0.28,Stable/Up,3,Lending,,,,3.94022,,,,3.35,0.17,,,,,,,
WETH-KCS,Uniswap V3,Ethereum,4191474,3.3732,3.3732,,-2.46574,0.46226,Stable/Up,2,Dexs,,27.35881,27.35881,2.36651,129120.29479,1222471.8078,,3.3732,3.3732,,,,,,,0.3%
MSUSD-FRAXBP,Convex Finance,Ethereum,4187295,13.26768,10.38,2.88768,-45.05828,0.3146,Stable/Up,1,Yield,,,,27.72152,,,,13.26768,10.38,,,,,,,
WSTETH-RETH-SFRXETH,Beefy,Ethereum,4183669,3.03677,,,-0.96062,-0.44201,Down,2,Yield Aggregator,,,,3.70619,,,,6.221176666666667,3.1844066666666664,,,,,,,Aura
BANANA-WETH,Uniswap V2,Ethereum,4177835,14.57117,14.57117,,-0.38941,4.81742,Down,2,Dexs,,16.68077,16.68077,31.04348,555944.78205,4467275.28065,,14.57117,14.57117,,,,,,,
XLM,Blend Pools,Stellar,4171074,1.11397,0.00099,1.11298,0.01724,-0.0845,Stable/Up,3,Lending,,,,1.28242,,,,1.11397,0.00099,-0.1092,,-0.1092,4209528,38454,4171074,Fixed XLM-USDC Pool
DEUSD-USDC,Curve DEX,Ethereum,4169375,0.3,0.3,,-4.6,-0.63,Stable/Up,1,Dexs,,,,3.32443,,,,0.3,0.3,,,,,,,
AAVELIDOWETH-WSTETH,Balancer V3,Ethereum,4166871,3.99009,3.99009,,0.18105,0.88925,Down,1,Dexs,,,,3.04362,,,,5.55109,5.55109,,,,,,,
